Constituency,Name,Party,Vote,Voter type,Politician_Comment
Carlow–Kilkenny,Kathleen Funchion,SF,Yes,TD,
Cultural and Educational Panel,Keith Swanick,FF,Undeclared,Senator,
Administrative Panel,Kevin Humphreys,LAB,Yes,Senator,
Longford-Westmeath,Kevin Moran,IND,Undeclared,TD,
Cork East,Kevin O'Keeffe,FF,No,TD,
Cultural and Educational Panel,Kieran O'Donnell,FG,Undeclared,Senator,
Dublin West,Leo Varadkar,FG,Undeclared,TD,
Mayo,Lisa Chambers,FF,Yes,TD,
Cultural and Educational Panel,Lorraine Clifford Lee,FF,Yes,Senator,
Dublin Fingal,Louise O'Reilly,SF,Yes,TD,
University of Dublin,Lynn Ruane,IND,Yes,Senator,
Labour Panel,Maire Devine,SF,Yes,Senator,
Sligo-Leitrim,Marc MacSharry,FF,No,TD,
Offaly,Marcella Corcoran Kennedy,FG,Yes,TD,
Cork South West,Margaret Murphy O'Mahony,FF,No,TD,
Dún Laoghaire,Maria Bailey,FG,Yes,TD,
Agricultural Panel,Maria Byrne,FG,Undeclared,Senator,
Nominated by the Taoiseach,Marie Louise O'Donnell,IND,Yes,Senator,
Administrative Panel,Mark Daly,FF,Undeclared,Senator,I will look and study the bill that the government publishes and then take a position
Administrative Panel,Martin Conway,FG,Yes,Senator,
Kerry,Martin Ferris,SF,Yes,TD,
Kildare South,Martin Heydon,FG,Undeclared,TD,
Sligo-Leitrim,Martin Kenny,SF,Yes,TD,
Waterford,Mary Butler,FF,No,TD,No problem with referendum being held
Dublin Central,Mary Lou McDonald,SF,Yes,TD,
Dún Laoghaire,Mary Mitchell O'Connor,FG,Yes,TD,
Tipperary,Mattie McGrath,IND,No,TD,
Administrative Panel,Maura Hopkins,FG,Undeclared,Senator,
Dublin Central,Maureen O'Sullivan,IND,Yes,TD,
Limerick City,Maurice Quinlivan,SF,Yes,TD,
Cork South West,Michael Collins,IND,No,TD,
Cork North West,Michael Creed,FG,Undeclared,TD,Supports holding of referendum
Wexford,Michael D'Arcy,FG,Undeclared,TD,
Roscommon-Galway,Michael Fitzmaurice,IND,No,TD,
Clare,Michael Harty,IND,Undeclared,TD,
Kerry,Michael Healy-Rae,IND,No,TD,
Tipperary,Michael Lowry,IND,Undeclared,TD,Will make intentions clear in the Dail
National University of Ireland,Michael McDowell,IND,Yes,Senator,
Cork South Central,Michael McGrath,FF,Undeclared,TD,
Cork North West,Michael Moynihan,FF,Undeclared,TD,
Limerick City,Michael Noonan,FG,Undeclared,TD,
Mayo,Michael Ring,FG,Undeclared,TD,
Cork South Central,Micheál Martin,FF,Yes,TD,
Nominated by the Taoiseach,Michelle Mulherin,FG,Undeclared,Senator,
Cork North Central,Mick Barry,SOL,Yes,TD,
Wexford,Mick Wallace,IND,Yes,TD,
Labour Panel,Neale Richmond,FG,Yes,Senator,
Labour Panel,Ned O'Sullivan,FF,Yes,Senator,
Limerick County,Niall Collins,FF,Yes,TD,In favour of referendum
Administrative Panel,Niall Ó Donnghaile,SF,Yes,Senator,
Cavan-Monaghan,Niamh Smyth,FF,No,TD,
Galway West,Noel Grealish,IND,Undeclared,TD,
Dublin North West,Noel Rock,FG,Yes,TD,
Agricultural Panel,Paddy Burke,FG,Undeclared,Senator,
Industrial and Commercial Panel,Pádraig MacLochlainn,SF,Yes,Senator,
Nominated by the Taoiseach,Pádraig Ó Céidigh,IND,Undeclared,Senator,
Dublin Central,Paschal Donohoe,FG,Yes,TD,
Clare,Pat Breen,FG,Undeclared,TD,
Cork East,Pat Buckley,SF,Yes,TD,
Wicklow,Pat Casey,FF,No,TD,
Carlow–Kilkenny,Pat Deering,FG,Undeclared,TD,
Donegal,Pat Gallagher,FF,No,TD,
Limerick County,Patrick O'Donovan,FG,Undeclared,TD,
Nominated by the Taoiseach,Paudie Coffey,FG,Undeclared,Senator,
Industrial and Commercial Panel,Paul Coghlan,FG,No,Senator,
Agricultural Panel,Paul Daly,FF,No,Senator,Serious reservations about 12 weeks
Labour Panel,Paul Gavan,SF,Yes,Senator,
Wexford,Paul Kehoe,FG,Undeclared,TD,Awaiting pp meeting
Dublin South West,Paul Murphy,SOL,Yes,TD,
Meath West,Peadar Tóibín,SF,No,TD,
Donegal,Pearse Doherty,SF,Yes,TD,
Longford-Westmeath,Peter Burke,FG,Undeclared,TD,Studying report
Louth,Peter Fitzpatrick,FG,No,TD,
Nominated by the Taoiseach,Ray Butler,FG,No,Senator,
Meath East,Regina Doherty,FG,Yes,TD,
Dún Laoghaire,Richard Boyd Barrett,PBP,Yes,TD,
Dublin Bay North,Richard Bruton,FG,Undeclared,TD,
Labour Panel,Robbie Gallagher,FF,Undeclared,Senator,
Longford-Westmeath,Robert Troy,FF,Undeclared,TD,In favour of referendum
Dublin North West,Róisín Shortall,SD,Yes,TD,
National University of Ireland,Rónán Mullen,IND,No,Senator,
Agricultural Panel,Rose Conway Walsh,SF,Yes,Senator,
Dublin West,Ruth Coppinger,SOL,Yes,TD,
Tipperary,Séamus Healy,WUA,Yes,TD,
Dún Laoghaire,Seán Barrett,FG,Undeclared,TD,
Galway East,Seán Canney,IND,No,TD,
Dublin South West,Seán Crowe,SF,Yes,TD,
Laois,Seán Fleming,FF,Undeclared,TD,
Dublin Bay North,Seán Haughey,FF,No,TD,
Galway West,Seán Kyne,FG,Yes,TD,Have a number of concerns
Kildare South,Seán Ó Fearghaíl,CC,Undeclared,TD,Ceann Comhairle
Cork East,Seán Sherlock,LAB,Yes,TD,
Meath West,Shane Cassells,FF,No,TD,
Dublin Rathdown,Shane Ross,IND,Yes,TD,
Cork South Central,Simon Coveney,FG,Undeclared,TD,
Wicklow,Simon Harris,FG,Yes,TD,
Wicklow,Stephen Donnelly,FF,Yes,TD,
Labour Panel,Terry Leyden,FF,Undeclared,Senator,
Meath East,Thomas Byrne,FF,No,TD,Against 12 weeks
Donegal,Thomas Pringle,IND,Yes,TD,
Agricultural Panel,Tim Lombard,FG,Undeclared,Senator,
Clare,Timmy Dooley,FF,Yes,TD,
Limerick County,Tom Neville,FG,Undeclared,TD,
Dublin Bay North,Tommy Broughan,IND,Yes,TD,
Sligo-Leitrim,Tony McLoughlin,FG,Undeclared,TD,
Agricultural Panel,Trevor Ó Clochartaigh,IND,Yes,Senator,
Agricultural Panel,Victor Boyhan,IND,Undeclared,Senator,
Limerick City,Willie O'Dea,FF,No,TD,
Longford-Westmeath,Willie Penrose,LAB,Yes,TD,
