	Username	Text	mentions	retweets	hastags	geo	favorites	date	month	day	hour
0		#Solidaridad #solidarity #solidariTEA		2	#Solidaridad #solidarity #solidariTEA		5	2017-12-07 07:09:08	12	7	7
0		Follow @NUIGsolidariTEA , show your support & solidarity with these 4 women academics who have been holding NUIG to account for #genderdiscrimination for 3 years. Join equality Coffee morning, 10am to 12pm, Thursday 7 December, Orbsen lobby or raise a cup on twitter #solidariTEA pic.twitter.com/Jnljx7yBW5	@NUIGsolidariTEA	5	#genderdiscrimination #solidariTEA		6	2017-12-07 01:01:04	12	7	1
0		Support colleagues @nuigalway who have been seeking redress for gender discrimination #solidariTEA 7Dec @nuigsolidariTEA @MichelineShSk pic.twitter.com/bx6nQaQo88	@nuigalway @nuigsolidariTEA @MichelineShSk	5	#solidariTEA		9	2017-12-07 00:32:54	12	7	0
0		#SolidariTEA is only hours away! Have a cuppa THURS 7 Dec 10am-12 to support gender equality in academia. Tag & post ur photo. Please follow, support & RT this account @NUIGsolidariTEA These brave women have been holding #NUIG to account for #genderdiscrimination for 3 YEARS! pic.twitter.com/mzW93K52sC	@NUIGsolidariTEA	5	#SolidariTEA #NUIG #genderdiscrimination		7	2017-12-06 23:42:27	12	6	23
0		Making cookies for tomorrow’s #solidaritea with @NUIGsolidariTEA at 10 in the Orbsen building. They are delicious, according to my 15yr old daughter. pic.twitter.com/WWiqLTGlv0	@NUIGsolidariTEA	1	#solidaritea		29	2017-12-06 22:41:01	12	6	22
0		I was struggling with baking! My mum will join #solidariTEA tomorrow. She could not get the hang of twitter. So she baked 3 cakes (including a gluten free one) and left me to focus on tweeting! My 2 teenagers will be taking half day from school to join @NUIGsolidariTEA . pic.twitter.com/kMxXhKwdz6	@NUIGsolidariTEA	0	#solidariTEA		15	2017-12-06 22:33:55	12	6	22
0		Individually or group #solidariTEA equality coffee/tea morning are happening tomorrow in most HEIs @HEA . Many researchers funded by @scienceirel @IrishResearch @hrbireland @EU_H2020 @MSCActions @IrishCancerSoc will stand in solidarity with their colleagues @NUIGsolidariTEA https:// twitter.com/Afshin_Samali/ status/938462561263144966 …	@HEA @scienceirel @IrishResearch @hrbireland @EU_H2020 @MSCActions @IrishCancerSoc @NUIGsolidariTEA	3	#solidariTEA		6	2017-12-06 21:17:36	12	6	21
0		Brilliant. See you then #solidariTEA is on me xx		1	#solidariTEA		2	2017-12-06 21:05:53	12	6	21
0		Meeting offsite from 11 to 1 and commitments after that but am around before 10:30am - but will be sipping in spirit wherever I am! #solidariTEA #womeninhighered pic.twitter.com/XSBR1ejwYf		1	#solidariTEA #womeninhighered		2	2017-12-06 20:43:41	12	6	20
0		Hey Limerickers - are ye around tomorrow and we can meet and have a cup of #solidariTEA in LIT to support our brilliant brave NUIG colleagues?		5	#solidariTEA		11	2017-12-06 20:41:10	12	6	20
0		Tomorrow Karen, Fiona and I will meet at 10 am at Chill in MU for a cuppa in support of the 4 women in NUI Galway fighting their #genderequality battle. Pop by for chat about #solidariTEA @FionaWalsh14 @KEnglishLab @NUIGsolidariTEA	@FionaWalsh14 @KEnglishLab @NUIGsolidariTEA	7	#genderequality #solidariTEA		12	2017-12-06 20:40:35	12	6	20
0		Worth doing every day!! #solidariTEA pic.twitter.com/1qUp4qKUA9		3	#solidariTEA		7	2017-12-06 20:28:41	12	6	20
0		Ahead of yourself - come tomorrow #SolidariTEA		1	#SolidariTEA		4	2017-12-06 20:10:27	12	6	20
